Indice Progetto,Organization type,Size of IT department,Customer organization type,Estimated  duration,Development type,Application domain,Object points,Contract maturity,Government policy impact,Organization management structure clarity,Developer hiring policy,Developer incentives policy ,Developer training,Development team management,Top management support,Top management opinion of previous system,User resistance,User computer experience, Users stability , Requirements flexibility ,Project manager experience,Consultant availability,DBMS  expert availability,Precedentedness,Software tool experience,Programmers experience in programming language,Programmers capability ,Team selection,Team size,Daily working hours,Team contracts,Team cohesion,Schedule quality,Development environment adequacy,Tool availability ,Methodology,Programming language used,DBMS used,Technical stability,Open source software,Degree of software reuse ,Degree of risk management,Use of standards, Process reengineering ,Requirement accuracy level,Technical documentation,User manual,Required reusability,Performance requirements,Product complexity,Security requirements,Reliability requirements,Specified H/W,Actual effort
0,-4.0,0.71428573,0.3,-0.75,0.0,0.4,0.0081883315,2.0,1.0,1.0,-0.33333334,0.6666667,0.0,0.33333334,0.0,0.0,-0.75,1.0,0.0,1.0,1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.33333334,0.0,0.0,-1.0,1.0,0.0,-0.4,0.0,-2.0,-1.0,0.0,1.0,0.5,0.0,0.0,0.505618,0.0,-2.0,-1.0,0.0,0.0,0.0,0.0,0.5,0.0,3168.0
1,0.0,-0.14285715,-0.8,-0.75,0.0,-0.4,-0.3234391,0.0,1.0,0.0,0.0,0.0,0.0,1.3333334,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,-1.0,1.5,0.0,0.0,0.0,-0.6666667,0.0,0.0,3.0,1.0,0.0,0.0,-0.5,-0.6666667,-1.0,0.0,1.0,0.5,0.0,0.0,3.5056183,0.6666667,-1.0,-1.0,-0.5,0.0,-1.0,2.0,0.0,0.0,1584.0
2,0.0,0.0,-0.7,-0.5,0.0,-0.4,-0.13920164,0.0,2.0,2.0,0.6666667,0.0,0.0,1.0,-3.0,-1.0,-0.5,1.0,0.0,0.0,1.0,-1.0,0.0,1.0,-0.5,-1.0,0.0,-1.0,0.33333334,0.0,0.0,2.0,0.0,0.0,0.0,0.5,-1.3333334,-1.0,0.0,0.0,0.5,-1.0,0.0,0.0,1.3333334,-1.0,0.0,1.0,3.0,1.0,3.0,0.0,2.0,5280.0
3,-1.0,0.0,-0.6,0.25,0.0,0.4,0.6059365,-1.0,1.0,0.0,-0.33333334,-0.6666667,0.0,1.3333334,0.0,0.0,0.75,1.0,1.1647941,-0.3333333,0.0,-2.0,0.0,1.0,-0.5,-1.0,2.0,-1.0,0.33333334,0.0,1.0,-2.0,0.0,0.0,-1.6,0.0,-1.0,0.0,1.0,0.0,-0.5,-2.0,-1.0,0.0,0.0,-2.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,5280.0
4,-1.0,0.0,-0.6,1.75,0.0,0.4,1.3183213,-0.5,1.0,0.0,0.0,-1.0,0.0,-0.33333334,0.0,0.0,0.25,1.0,0.0,-0.3333333,0.0,-1.0,0.0,1.0,0.0,-1.0,2.0,0.0,1.3333334,0.0,0.0,-1.0,0.0,0.0,-1.6,0.0,5.6666665,0.0,0.0,0.0,-0.5,-2.0,0.0,-0.49438217,0.0,-2.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,38016.0
5,-1.0,0.0,-0.6,0.25,3.0,0.4,0.3234391,-0.5,1.0,0.0,0.0,-1.0,0.0,-0.33333334,0.0,-1.0,-0.75,2.0,1.0,-0.3333333,0.0,0.0,0.0,1.0,-0.5,-1.0,2.0,0.0,0.6666667,0.0,0.0,-2.0,0.0,0.0,-1.6,0.0,-1.0,1.0,0.0,0.0,-0.5,-2.0,0.0,-0.49438217,0.0,-2.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,9856.0
6,-1.0,-0.14285715,-0.6,0.25,0.0,0.4,-0.1801433,-0.5,1.0,0.0,0.0,-0.6666667,-1.0,-0.33333334,0.0,-1.0,1.0,0.0,1.1647941,-0.3333333,1.0,-2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,-2.0,0.0,0.0,-1.6,0.0,-0.33333334,1.0,0.0,0.0,0.5,-2.0,0.0,-0.49438217,0.0,-2.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,7920.0
7,-1.0,-0.14285715,-0.6,0.25,0.0,-0.4,-0.34390992,-0.5,2.0,0.0,0.0,-1.0,0.0,-0.33333334,0.0,-1.0,-0.25,1.0,0.0,0.0,0.0,-2.0,0.0,0.0,-0.5,-1.0,2.0,0.0,-0.33333334,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,-1.6666666,1.0,0.0,0.0,-0.5,-2.0,0.0,0.0,0.0,-2.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0,4224.0
8,0.0,-0.14285715,0.4,1.75,0.0,-0.6,0.9703173,0.0,2.0,0.0,0.33333334,-0.6666667,-2.0,1.0,1.0,0.0,1.25,0.0,1.0,1.0,0.0,0.0,0.0,-1.0,0.5,1.0,-1.0,0.0,-0.33333334,-1.0,0.0,-2.0,2.0,0.0,0.0,0.5,-1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,1.0,24255.0
9,-1.0,0.14285715,-0.7,1.0,0.0,-0.8,0.7553736,-0.5,1.0,0.0,0.33333334,0.0,0.0,0.33333334,-1.0,-1.0,-1.25,0.0,0.8314608,0.0,0.0,-1.0,0.0,1.0,0.0,-1.0,-1.0,0.0,0.6666667,1.0,0.0,-2.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,-0.49438217,0.0,1.0,0.0,1.0,0.0,-1.0,1.0,0.0,2.0,35640.0
